model,mode,accuracy,balanced_accuracy,macro_f1,inside_accuracy,outside_accuracy,near_accuracy,overgeneralization_rate,unnecessary_clarification_rate,twin_exact_match,twin_discrimination_accuracy,n_examples
Flat Fact Memory,local_baseline,0.6666666666666666,0.3333333333333333,0.2666666666666666,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1152
FrontierMem-Lite (Rules),local_baseline,0.9713541666666666,0.95703125,0.9547838731479948,0.9856770833333334,0.9427083333333334,0.9427083333333334,0.0,0.0197916666666666,0.9427083333333334,0.9817708333333334,1152
Query-Only TF-IDF,local_baseline,0.6354166666666666,0.52734375,0.5101168042177326,0.7434895833333334,0.1770833333333333,0.6614583333333334,0.8229166666666666,0.1322916666666666,0.3020833333333333,0.0,1152
Qwen2.5-0.5B-Instruct,legacy_full_llm,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72
Qwen2.5-1.5B-Instruct,full_llm,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72
Qwen2.5-1.5B-Instruct,gold_memory_llm,0.625,0.6250000000000001,0.6004021330535886,1.0,0.2916666666666667,0.5833333333333334,0.5833333333333334,0.0625,0.6666666666666666,0.6666666666666666,72
Qwen2.5-1.5B-Instruct,llm_memory_rule,0.6666666666666666,0.6666666666666666,0.6534647757408049,0.8333333333333334,0.375,0.7916666666666666,0.125,0.3333333333333333,0.3333333333333333,0.6666666666666666,72
Qwen2.5-1.5B-Instruct,rule_memory_llm,0.7083333333333334,0.7083333333333334,0.6844532279314888,1.0,0.3333333333333333,0.7916666666666666,0.5416666666666666,0.0625,1.0,1.0,72
Qwen2.5-3B-Instruct,gold_memory_llm,0.75,0.75,0.735502,0.458333,0.791667,1.0,0.041667,0.270833,0.0,0.0,72
Raw Long-Context TF-IDF,local_baseline,0.7951388888888888,0.8402777777777777,0.7802151020541825,0.75,0.9791666666666666,0.7916666666666666,0.0,0.0072916666666666,0.5902777777777778,1.0,1152
Tiny Transformer LM (end-to-end heads),local_baseline,0.6649305555555556,0.3441840277777778,0.2957295250244911,0.9856770833333334,0.03125,0.015625,0.9635416666666666,0.0041666666666666,0.3333333333333333,0.0572916666666666,1152
Tiny Transformer Memory + Rule Policy,local_baseline,0.9366319444444444,0.8980034722222222,0.9092950395996698,0.9752604166666666,0.859375,0.859375,0.0833333333333333,0.0239583333333333,0.8802083333333334,0.8958333333333334,1152
